,url,ingredients,instructions
12,https://www.loveandlemons.com/tomato-soup-recipe/,"2 tablespoons extra-virgin olive oil, plus more for drizzling
2 tablespoons unsalted butter, or an additional 2 tablespoons olive oil
2 medium yellow onions, chopped
2 medium carrots, chopped
6 garlic cloves, chopped
2 tablespoons balsamic vinegar
2 (28-ounce) cans diced tomatoes
3 cups water or vegetable broth
1⅓ cups full-fat coconut milk or heavy cream, plus more for drizzling
1 teaspoon dried thyme
½ teaspoon red pepper flakes
1 teaspoon sea salt, plus more to taste
Freshly ground black pepper
Fresh basil leaves, for garnish","Heat the olive oil and butter in a large pot over medium heat. Add the onion, carrots, garlic, and a pinch of salt and cook, stirring occasionally, for 8 minutes, or until softened.
Stir in the vinegar, then add the tomatoes, water, coconut milk, thyme, red pepper flakes, salt, and several grinds of pepper. Simmer, stirring occasionally, for 20 to 25 minutes, or until the carrots are tender.
Scoop 4 cups of the soup out of the pot and set aside. Transfer the remaining soup to a blender. Puree until smooth. Return the pureed soup to the pot with the reserved 4 cups of chunky soup. Stir to combine and season to taste.
Ladle into bowls and serve with a drizzle of coconut milk, a drizzle of olive oil, freshly ground black pepper, and fresh basil leaves for garnish."
13,https://www.loveandlemons.com/grilled-cheese/,"2 slices sourdough bread
Mayonnaise
Dijon mustard
1 to 2 ounces grated sharp cheddar cheese, depending on the size of your bread
1 to 2 ounces grated Gruyère or raclette cheese, depending on the size of your bread
Butter, for the pan","Place the bread slices on a cutting board and spread the top side with a thin layer of mayo. Flip one slice of bread and spread its other side with Dijon mustard. Layer the cheddar and Gruyère or Raclette cheeses on top of the mustard, then place the other slice of bread on top of the cheese, mayo side out.
Heat a nonstick or cast-iron skillet over medium-low heat and melt enough butter in the bottom of the pan to coat it. Place the sandwich in the pan, cover, and cook for 2 to 3 minutes, or until the bottom slice of bread is golden brown and crisp. Flip, replace the lid, and cook until the other slice of bread is golden brown and the cheese is melted, 1 to 3 minutes. Reduce the heat to low if the bread is getting too brown before the cheese is fully melted.
Slice and serve."
14,https://www.loveandlemons.com/cauliflower-fried-rice/,"2 tablespoons rice vinegar
2 tablespoons tamari
2 teaspoons toasted sesame oil
2 teaspoons avocado oil
8 ounces shiitake mushrooms, stemmed and sliced
1 large carrot, diced
¼ teaspoon sea salt
2 garlic cloves, chopped
1 tablespoon chopped fresh ginger
¼ cup chopped kimchi
1 small head of cauliflower, riced
1 bunch scallions, chopped
2 eggs, beaten
½ cup frozen edamame
1½ teaspoons fresh lime juice
Fried eggs, for topping, optional
Sesame seeds, for garnish
Microgreens, for garnish
Sriracha, for serving","In a small bowl, mix together the rice vinegar, tamari, and sesame oil. Set aside.
Heat the avocado oil in a large nonstick skillet over medium heat. Add the mushrooms, carrot, and salt and cook, stirring occasionally, for 8 minutes, or until softened.
Stir in the garlic, ginger, and kimchi, then add the cauliflower rice and scallions and stir to combine. Make a well in the center of the pan and pour in the eggs. Stir to scramble, then mix the scrambled eggs into the fried rice.
Add the tamari mixture and the edamame and cook until the edamame is heated through. Turn off the heat, stir in the lime juice, and season to taste.
Portion the cauliflower fried rice onto plates and top with fried eggs, if desired. Garnish with sesame seeds and microgreens and serve with sriracha on the side."
15,https://www.loveandlemons.com/fried-egg/,"1 large egg
1 teaspoon extra-virgin olive oil or small pat of butter
Sea salt and freshly ground black pepper","Crack the egg into a small bowl or ramekin.
Heat the olive oil in a nonstick or well-seasoned cast-iron skillet over medium heat and swirl to coat the bottom of the pan. Carefully pour in the egg and reduce the heat to low. Cook, uncovered, for 1 minute, then cover and cook until the whites are just set, 2 to 3 minutes. For an over easy egg, carefully flip the fried egg and cook until the whites are fully set, about 15 seconds, longer for an over medium or over hard egg. Transfer to a plate and season to taste with salt and pepper."
16,https://www.loveandlemons.com/savory-oatmeal/,"Sautéed spinach and/or mushrooms
Soft boiled eggs or poached eggs
Chopped scallions
Avocado slices
Microgreens
Hot sauce
Lemon wedge","Heat the olive oil in a small saucepan over medium heat. Add the shallot and cook until softened, about 2 minutes. Add the oats and garlic and stir to coat in the oil, then add the water and salt and bring to a boil. Reduce the heat and simmer, stirring occasionally, for 15 to 20 minutes, or until the oats are thick and creamy but still have a slight bite. Season to taste with salt and pepper.
Remove from the heat and portion into bowls. Top with the sautéed vegetables, eggs, scallions, avocado, and microgreens. Serve with drizzles of hot sauce and a squeeze of lemon juice."
17,https://www.loveandlemons.com/sauteed-spinach/,"2 teaspoons extra-virgin olive oil
1 garlic clove, chopped
5 ounces spinach
¼ teaspoon sea salt
Lemon wedge, for squeezing
Freshly ground black pepper","Heat the olive oil in a large skillet over medium heat. Add the garlic and cook for 30 seconds, or until fragrant but not at all browned. Add the spinach and salt and cook, tossing, for 1 to 2 minutes, or until the spinach is just wilted. 
Remove from the heat and season to taste with lemon juice and freshly ground black pepper."
18,https://www.loveandlemons.com/kale-soup/,"¼ cup extra-virgin olive oil, plus more for drizzling
1 medium yellow onion, chopped
1 medium carrot, chopped
2 celery ribs, chopped
2 garlic cloves, chopped
1 tablespoon chopped fresh rosemary
1 teaspoon sea salt, plus more to taste
½ teaspoon dried thyme
Freshly ground black pepper
4½ cups cooked white beans, drained and rinsed
4 cups vegetable broth
6 cups chopped kale leaves
2 tablespoons fresh lemon juice
Homemade croutons, for serving
Fresh parsley, for garnish","Heat the olive oil in a large pot or Dutch oven over medium heat. Add the onion, carrot, celery, garlic, rosemary, salt, thyme, and several grinds of pepper. Cook for 8 minutes, stirring occasionally, or until softened. Add the beans and broth. Simmer for 20 minutes.
Transfer half the soup to a blender and blend until smooth. Stir the puree back into the pot and add the kale and lemon juice. Cook, stirring, until the kale is wilted, about 5 minutes. If the soup is too thick, stir in water, ½ cup at a time, until it reaches your desired consistency. Season to taste (I usually add another ¼ teaspoon salt at this point) and serve with a drizzle of olive oil, croutons, and fresh parsley for garnish."
19,https://www.loveandlemons.com/sushi-bowl/,"3 cups cooked brown or white rice
2 tablespoons rice vinegar
1 tablespoon cane sugar
1 teaspoon sea salt
1 recipe Baked Tofu
2 avocados, sliced
2 ripe mangoes, diced
2 Persian cucumbers, thinly sliced
2 scallions, thinly sliced
Pickled ginger
Pickled radishes, optional
Thinly sliced nori or seaweed snacks, for garnish
Sesame seeds, for garnish
Microgreens, for garnish
Spicy Mayo, for serving","While the rice is still warm, toss it with the rice vinegar, cane sugar, and salt. 
Divide among 4 bowls and top with the baked tofu, avocado, mango, cucumbers, scallions, pickled ginger, and pickled radishes, if using. Garnish with nori, sesame seeds, and microgreens and serve with spicy mayo."
20,https://www.loveandlemons.com/spicy-mayo/,"½ cup mayonnaise
2 tablespoons sriracha
1 teaspoon fresh lime juice
⅛ teaspoon toasted sesame oil","In a small bowl, stir together the mayonnaise, sriracha, lime juice, and sesame oil. Taste and adjust as desired.
Use as a sauce for these sushi bowls, this vegan sushi, or your favorite sushi recipe. Find more serving suggestions in the post above."
21,https://www.loveandlemons.com/green-smoothie/,"1 cup frozen spinach or kale
½ frozen banana
½ tablespoon almond butter
1 to 2 cups peeled and frozen orange segments, or frozen pineapple or mango chunks
½ teaspoon chia seeds, optional
1 cup almond milk, plus more as needed to blend
Handful of ice","In a blender, place the spinach, banana, almond butter, 1 cup frozen fruit, and chia seeds, if using. Add the almond milk and blend until smooth, adding more almond milk as needed to blend. Add the ice and blend again. 
Taste and add more frozen fruit if you’d like your smoothie to be sweeter. Blend until smooth, adding more almond milk as needed."
22,https://www.loveandlemons.com/easy-dinner-ideas/,"4 cups (32 ounces)  marinara sauce
2 cups (16 ounces) ricotta cheese
2 garlic cloves, minced
1 tablespoon lemon zest
1 teaspoon oregano
¼ teaspoon red pepper flakes
¾ teaspoon sea salt, more for the pasta water
Freshly ground black pepper
1 pound ziti pasta
Extra-virgin olive oil, for drizzling
1 pound fresh spinach
1½ cups smoked mozzarella cheese
¼ cup grated pecorino or Parmesan cheese","Preheat the oven to 425°F. Spread ½ cup marinara in the bottom of a 9x13-inch baking dish.
In a medium bowl, combine the ricotta cheese, garlic, lemon zest, oregano, red pepper flakes, ½ teaspoon salt, and several grinds of fresh pepper.
In a large pot of salted boiling water, cook the pasta according to package directions until al dente. Drain.
Return the pot back to the stove. Over low heat, drizzle the bottom of the pot with a little olive oil and add the spinach. Toss and sauté 1 to 2 minutes until just wilted, working in batches if necessary. Turn off the heat, remove the spinach from the pot, and gently squeeze out some of the excess water. Coarsely chop it and set aside.
Add the pasta back to the pot along with the remaining marinara, most of the chopped spinach, ¼ teaspoon sea salt, and more fresh pepper and toss until combined.
Add half the pasta to the baking dish, top with dollops of the ricotta, the remaining spinach, and scoop the remaining pasta on top. Top with the mozzarella and pecorino cheese. Drizzle with olive oil and bake until the cheese is browned, 16 to 22 minutes.
Garnish with fresh basil or parsley and serve hot."
23,https://www.loveandlemons.com/stuffed-mushrooms/,"½ cup panko breadcrumbs
½ cup grated pecorino cheese
½ cup finely chopped parsley, plus more for garnish
¼ cup chopped oil-packed sun-dried tomatoes, about 4
2 tablespoons pine nuts
2 garlic cloves, minced
¼ teaspoon sea salt, more for sprinkling
Freshly ground black pepper
20 to 24 large cremini mushrooms, stemmed
Extra virgin olive oil, for drizzling
Pinches of red pepper flakes, optional","Preheat the oven to 400°F and line a baking sheet with parchment paper.
In a medium bowl, combine the panko, pecorino cheese, parsley, sun-dried tomatoes, pine nuts, garlic, salt and several grinds of pepper.
Place the mushrooms, cavity side up, onto the baking sheet. Drizzle the mushrooms with olive oil and sprinkle with salt. Spoon the filling into the mushrooms, drizzle with more olive oil and bake until the mushrooms are tender and the filling is golden brown, 18 to 22 minutes.
Garnish with parsley and sprinkle with red pepper flakes, if desired, and serve."
24,https://www.loveandlemons.com/appetizers/,"Chopped chives
Celery seed
Smoked paprika
1½ teaspoons sweet pickle relish
½ teaspoon Dijon mustard
Sea salt","Slice the eggs in half lengthwise and remove the yolks.
In a small food processor, combine the egg yolks, mayo, yogurt, relish, and mustard and pulse until smooth. Season to taste with salt.
Scoop the mixture into the egg white halves (or use a piping bag, if you prefer). Sprinkle with desired toppings."
25,https://www.loveandlemons.com/christmas-breakfast-ideas/,"1½ cups powdered sugar, sifted
3 to 4 tablespoons almond milk
½ teaspoon vanilla extract
1 teaspoon sea salt
2¾ cups all-purpose flour, plus more for kneading","Instructions
Grease an 8x11 or 9x13-inch baking dish.
In a small bowl, stir together the water, yeast, and sugar. Set aside for 5 minutes, or until the yeast is foamy.
Make the dough: In a medium bowl, combine the coconut oil, almond milk, sugar, and salt. Stir in the yeast mixture. Place the flour in a large bowl, then add the wet ingredients and stir until combined. The mixture will be sticky. Use your hands to roughly knead the mixture, then turn it out onto a floured surface. Knead 3 to 4 minutes until smooth, sprinkle with more flour if needed, and form into a ball.
Brush a large bowl with coconut oil and place the dough inside. Cover with plastic wrap and set aside in a warm place to rise until doubled in size, about 1 hour.
Make the filling: In a small bowl, mix the brown sugar and cinnamon.
Punch down dough and roll out on a floured surface into a 20x14-inch rectangle. Brush with 2 tablespoons melted coconut oil and sprinkle with the cinnamon sugar to within ½ inch of the edges.
Starting at one of the short 14-inch ends, roll tightly into a log, then slice into 12 rolls. Place the rolls into the baking dish cut-side up, cover, and let rise for 1 hour.
Preheat the oven to 350°F.
Make the glaze: In a medium bowl, whisk together the powdered sugar, 3 tablespoons almond milk, and vanilla until smooth. If it’s too thick, add more almond milk.
Bake the rolls 25 to 30 minutes or until lightly golden on top. Remove and allow to cool for 10 minutes, then drizzle the glaze on top and serve."
26,https://www.loveandlemons.com/coffee-cake-recipe/,"2½ cups plus 2 tablespoons all-purpose flour, spooned and leveled
1½ teaspoons baking powder
1½ teaspoons baking soda
¾ teaspoon sea salt
¾ cup unsalted butter, at room temperature
1½ cups cane sugar
3 large eggs
1½ teaspoons vanilla extract
1½ cups whole milk Greek yogurt","Preheat the oven to 350°F and grease a 9x13-inch baking dish.
Make the filling: In a small bowl, mix together the brown sugar, cane sugar, and cinnamon. Set aside.
Make the crumble topping: In a medium bowl, mix together the flour, brown sugar, cane sugar, and cinnamon. Add the butter and use a spatula to combine. Mix until there is no dry flour remaining and the mixture is crumbly. Don’t overmix. Set aside.
Make the cake: In a large bowl, whisk together the flour, baking powder, baking soda, and salt.
In the bowl of a stand mixer, or using an electric mixer, cream the butter. Add sugar and mix to combine. Add the eggs one at a time, beating well after each addition. Mix in the vanilla. Add a quarter of the dry ingredients and mix, then add a third of the yogurt and mix. Repeat until you have added all the yogurt and dry ingredients, ending with the dry ingredients.
Evenly spread half the batter at the bottom of the prepared pan. Sprinkle with the filling. Dollop the remaining batter in spoonfuls across the top of the filling and use a spatula or knife to carefully spread it into an even layer. Sprinkle the crumble topping on top.
Bake for 45 to 50 minutes, or until a toothpick inserted comes out clean."
27,https://www.loveandlemons.com/whole-roasted-cauliflower/,"¾ cup mild harissa, we like Mina Harissa Mild 
3 tablespoons extra-virgin olive oil
¾ teaspoon ground cumin
¾ teaspoon smoked paprika
¾ teaspoon dried thyme
½ teaspoon sea salt
Heaping ¼ teaspoon red pepper flakes","Preheat the oven to 425°F.
Make the sauce: In a small bowl, mix together the harissa, olive oil, cumin, paprika, thyme, salt, and red pepper flakes.
Slice the bottom of the core off the cauliflower so that it sits flat. Place the cauliflower in a cast iron skillet and brush the cauliflower with ⅓ of the sauce. Cover the skillet with foil and roast for 30 minutes. Uncover and roast for 30 more minutes, or until the cauliflower is fork-tender in the middle.
Remove from the oven and brush with half the remaining sauce. Season with salt and pepper and squeeze with lemon juice. Garnish with cilantro, slice into quarters, and serve with the remaining sauce on the side."
28,https://www.loveandlemons.com/french-toast-casserole/,"2 tablespoons unsalted butter or coconut oil, melted
2 tablespoons brown sugar
½ cup chopped pecans
1½ cups unsweetened almond milk, or any milk
2 tablespoons brown sugar
2 teaspoons vanilla extract
1 teaspoon cinnamon
¼ teaspoon nutmeg
¼ teaspoon sea salt
Maple syrup, for serving","Grease a 9x13-inch or similar baking dish. Place the bread cubes in the baking dish.
In a large bowl, whisk together the eggs, milk, brown sugar, vanilla, cinnamon, nutmeg, and salt. Pour the mixture evenly over the bread. If making the casserole ahead, cover the baking dish and refrigerate overnight. Otherwise, let stand for 30 minutes at room temperature to allow the bread to soak up the egg mixture.
Preheat the oven to 350°F.
Add the topping: Drizzle the casserole with the butter and sprinkle with the brown sugar and pecans. Cover and bake for 35 minutes, then uncover and bake for another 10 to 20 minutes, or until the topping is browned and the egg mixture has mostly set. Remove from the oven, cover loosely with foil, and let stand for 10 minutes.
Serve with maple syrup."
